variant,scope,src,dst,description,relation_key,graph_chunk_ids,tracking_chunk_ids,resolved_chunk_ids,src_anchor_score,dst_anchor_score,endpoint_anchor_score,cooccurrence_score,tracking_mismatch,missing_relation_tracking,missing_graph_source,weak_endpoint_binding,both_endpoints_missing,empty_resolved_source,source_excerpt
baseline,graph,NaCl Surface,Sodium Chloride (NaCl),The NaCl surface used for experiments is created by thermally evaporating Sodium Chloride onto metal substrates.,NaCl Surface<SEP>Sodium Chloride (NaCl),"[""chunk-70349531a09c34dbadb3a417c2fef411""]","[""chunk-70349531a09c34dbadb3a417c2fef411""]","[""chunk-70349531a09c34dbadb3a417c2fef411""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"of the orbital densities of SOMOs, and not the hybridized HOMO and LUMO, proves the open-shell ground state of assigned 5OS.
Measurements of the monoradical species with a doublet ground state are shown in Supplementary Fig. . Unexpectedly,"
baseline,graph,Goshen-Lempster Cooperative School,Dissolution,The cooperative operating the Goshen-Lempster Cooperative School was dissolved in June 2016.,Dissolution<SEP>Goshen-Lempster Cooperative School,"[""chunk-da8944dec9542afeb2ec4886bda7d7c1""]","[""chunk-da8944dec9542afeb2ec4886bda7d7c1""]","[""chunk-da8944dec9542afeb2ec4886bda7d7c1""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"neighboring town of Lempster maintained a combined elementary and middle school, called Goshen-Lempster Cooperative School, located in Lempster. The school served kindergarten through 8th grade. The cooperative was dissolved in June 2016.  "
baseline,graph,Evelyn Vane,Narrator,"The narrator observes and admires Evelyn Vane as a picturesque, gracious example of English aesthetic revival.",Evelyn Vane<SEP>Narrator,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Balzac,Narrator,"The narrator is intensely interested in Balzac, whose novels provide a thematic backdrop for his exploration of Parisian life.",Balzac<SEP>Narrator,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,French Life,Narrator,The narrator is intensely drawn to experiencing 'real French life' for its aesthetic and sensuous qualities.,French Life<SEP>Narrator,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Artistic Temperament,Narrator,"The narrator identifies strongly with an artistic temperament, which he feels is misunderstood back in Boston.",Artistic Temperament<SEP>Narrator,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Boston,Narrator,The narrator criticizes Boston for lacking sympathy with the artistic temperament and making everything a matter of right and wrong.,Boston<SEP>Narrator,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Cultural Exchange,Salon,The salon in the boarding house serves as the venue for the cosmopolitan cultural exchanges among the boarders from different nations.,Cultural Exchange<SEP>Salon,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,The Johnsons,Narrator,Traveling with the Johnsons in the past constrained the narrator's artistic expression due to their didactic and gray worldview.,Narrator<SEP>The Johnsons,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Harvard,Narrator,"The narrator is writing a letter to his friend Harvard, confessing his intense desires and observations about life in Europe.",Harvard<SEP>Narrator,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Narrator,Theophile Gautier,The narrator admires Theophile Gautier and regrets that he died before the narrator could meet him to express his gratitude.,Narrator<SEP>Theophile Gautier,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Narrator,French Family,The narrator has chosen to live with a French family in Paris as a deliberate act to immerse himself in and judge European life directly.,French Family<SEP>Narrator,"[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]","[""chunk-7e566930a61c86601372e88f60a6eda5""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"earnestness in that life of hotels and railroad trains, which
so many of our countrymen are content to lead in this strange Old World,
and I was distressed to find how far I, myself; had been led along the
dusty, beaten track.  I had, howev"
baseline,graph,Narrator,The Americans,"The narrator observes and critically analyzes the Americans, describing them as exhibiting a unique phenomenon of decadence and premature vitiation.",Narrator<SEP>The Americans,"[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"already forgotten the convincing proofs of the fact that were presented
to them nine years ago.  A German was something disagreeable, which they
determined to keep out of their conception of things.  I therefore think
that we are wrong to g"
baseline,graph,Narrator,French Homunculus,"The narrator prefers the talk of the French homunculus over that of the young man from Boston, finding it more amusing.",French Homunculus<SEP>Narrator,"[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"already forgotten the convincing proofs of the fact that were presented
to them nine years ago.  A German was something disagreeable, which they
determined to keep out of their conception of things.  I therefore think
that we are wrong to g"
baseline,graph,Narrator,Anglo-Saxon Family,"The narrator analyzes the Anglo-Saxon family, perceiving germs of extinction and predicting its self-consumption through precipitate decay and enmities.",Anglo-Saxon Family<SEP>Narrator,"[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"already forgotten the convincing proofs of the fact that were presented
to them nine years ago.  A German was something disagreeable, which they
determined to keep out of their conception of things.  I therefore think
that we are wrong to g"
baseline,graph,Narrator,French Nature,The narrator analyzes the French nature as too shallow for the hypothesis of *revanche* (revenge) to govern actions upon.,French Nature<SEP>Narrator,"[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"already forgotten the convincing proofs of the fact that were presented
to them nine years ago.  A German was something disagreeable, which they
determined to keep out of their conception of things.  I therefore think
that we are wrong to g"
baseline,graph,Narrator,Third Young American Person,"The three young Americans each take the narrator apart and assure him secretly that only they are the real, genuine, typical American.",Narrator<SEP>Third Young American Person,"[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]","[""chunk-8011e47b742851a2d9b30f31c080d1ee""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"already forgotten the convincing proofs of the fact that were presented
to them nine years ago.  A German was something disagreeable, which they
determined to keep out of their conception of things.  I therefore think
that we are wrong to g"
baseline,graph,William Platt,The Narrator,The narrator compares the German gentleman's fondness for discussion to that of William Platt.,The Narrator<SEP>William Platt,"[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"all; if she were nice,
she wouldn't have such ideas as that.  I tell Miss Vane that at Bangor we
think such ideas vulgar; but then she looks as though she had never heard
of Bangor.  I often want to shake her, though she _is_ so sweet.  If "
baseline,graph,Miss Vane,The Narrator,The narrator criticizes Miss Vane's ideas as vulgar and observes her timid nature and fear of her brother.,Miss Vane<SEP>The Narrator,"[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"all; if she were nice,
she wouldn't have such ideas as that.  I tell Miss Vane that at Bangor we
think such ideas vulgar; but then she looks as though she had never heard
of Bangor.  I often want to shake her, though she _is_ so sweet.  If "
baseline,graph,The Brother,The Narrator,"The narrator argues with the brother about treating his sister as an equal, which causes the brother to laugh loudly.",The Brother<SEP>The Narrator,"[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"all; if she were nice,
she wouldn't have such ideas as that.  I tell Miss Vane that at Bangor we
think such ideas vulgar; but then she looks as though she had never heard
of Bangor.  I often want to shake her, though she _is_ so sweet.  If "
baseline,graph,The Narrator,The German Gentleman,"The German gentleman appreciates the narrator's remarks, asks questions, and engages in discussions, making the narrator feel mentally clear.",The German Gentleman<SEP>The Narrator,"[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]","[""chunk-eadba822cc2586457c795a2bc70f562d""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"all; if she were nice,
she wouldn't have such ideas as that.  I tell Miss Vane that at Bangor we
think such ideas vulgar; but then she looks as though she had never heard
of Bangor.  I often want to shake her, though she _is_ so sweet.  If "
baseline,graph,The Narrator,Rosalie,"The Narrator deliberately cultivated a relationship with Rosalie to persuade her to reveal the full, secret story of what happened at La Grande Breteche.",Rosalie<SEP>The Narrator,"[""chunk-e76d304272295dba12dfd7b115ecd8f3""]","[""chunk-e76d304272295dba12dfd7b115ecd8f3""]","[""chunk-e76d304272295dba12dfd7b115ecd8f3""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"""'You need have no fears,' said she; 'you will see.'

""Her eagerness made me suspect that I was not the only person to whom
my worthy landlady had communicated the secret of which I was to be the
sole possessor, but I listened.

""'Monsieur,"
baseline,graph,Albert Reynolds,Marl,Marl did not work with Albert Reynolds when Reynolds was in government.,Albert Reynolds<SEP>Marl,"[""chunk-9125c70c25c29c8f2d48472764fdd24f""]","[""chunk-9125c70c25c29c8f2d48472764fdd24f""]","[""chunk-9125c70c25c29c8f2d48472764fdd24f""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"made innovations in how to operate public relations for the party, including holding opposition press briefings. He also tried to increase the electability of Haughey, particularly among young people. 
Mara adopted techniques of electioneer"
baseline,graph,Pullman Limited,Marl,"Marl operated a bank account for Pullman Limited at the Royal Bank of Scotland, which he failed to disclose to the Flood Tribunal.",Marl<SEP>Pullman Limited,"[""chunk-9125c70c25c29c8f2d48472764fdd24f""]","[""chunk-9125c70c25c29c8f2d48472764fdd24f""]","[""chunk-9125c70c25c29c8f2d48472764fdd24f""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"made innovations in how to operate public relations for the party, including holding opposition press briefings. He also tried to increase the electability of Haughey, particularly among young people. 
Mara adopted techniques of electioneer"
baseline,graph,Royal Bank of Scotland,Marl,Marl held an account for Pullman Limited at the Royal Bank of Scotland in the Isle of Man.,Marl<SEP>Royal Bank of Scotland,"[""chunk-9125c70c25c29c8f2d48472764fdd24f""]","[""chunk-9125c70c25c29c8f2d48472764fdd24f""]","[""chunk-9125c70c25c29c8f2d48472764fdd24f""]",1.0,0.0,0.5,0.0,False,False,False,True,False,False,"made innovations in how to operate public relations for the party, including holding opposition press briefings. He also tried to increase the electability of Haughey, particularly among young people. 
Mara adopted techniques of electioneer"
baseline,graph,Bilgoraj County,Tarnogrod,Tarnogrod is one of the towns contained within Bilgoraj County.,Bilgoraj County<SEP>Tarnogrod,"[""chunk-82f839250235ced19f561e3085eb2299""]","[""chunk-82f839250235ced19f561e3085eb2299""]","[""chunk-82f839250235ced19f561e3085eb2299""]",0.0,0.0,0.0,0.0,False,False,False,True,True,False,"to Piraeus Bank. Laiki was split into a good and bad bank, the good bank (Cyprus operations) merged with Bank of Cyprus and the bad bank is in the process of being sold and finally shuttered. The board and CEO were replaced on 27 March. The"
baseline,graph,Bilgoraj County,Lublin Voivodeship,Bilgoraj County is a unit of territorial administration within Lublin Voivodeship in Poland.,Bilgoraj County<SEP>Lublin Voivodeship,"[""chunk-82f839250235ced19f561e3085eb2299""]","[""chunk-82f839250235ced19f561e3085eb2299""]","[""chunk-82f839250235ced19f561e3085eb2299""]",0.0,1.0,0.5,0.0,False,False,False,True,False,False,"to Piraeus Bank. Laiki was split into a good and bad bank, the good bank (Cyprus operations) merged with Bank of Cyprus and the bad bank is in the process of being sold and finally shuttered. The board and CEO were replaced on 27 March. The"
