#,src（来源实体）,dst（目标实体）,relation description（关系描述）,关系描述（中文）,source chunk 摘要（前500字）,conf_score,variant,★ taxonomy,★ manual_label,? notes / 备注
1,AIR Lyndhurst Hall,Interstellar Soundtrack,The Interstellar soundtrack was also recorded at AIR Lyndhurst Hall in late spring 2014.,《星际穿越》原声带于2014年春末在AIR林德赫斯特音乐厅录制。,"concept of the film, though it had not yet been written. Zimmer was originally skeptical, noting that he had written a ""tiny, tiny little fragile"" piece while Nolan had described an intense, epic space film. However, Nolan reassured Zimmer that the piano piece provided ""the heart"" of the film. The piece can be heard at the conclusion of the film.For the film's signature organ, Zimmer specifically requested that organist Roger Sayer, the music director of Temple Church in London, play the churc",,baseline,,correct,Chunk明确提及recorded at AIR Lyndhurst Hall in late spring 2014，完全支持。
12,Black Death,Pneumonic Plague,"During the Black Death, the plague also took a secondary pneumonic form, spread via person-to-person aerosols.<SEP>The Black Death included the distinct form of pneumonic plague, which infected the lungs and was noted by Lodewijk Heyligen.",查尔斯·狄更斯曾批评美国的版权法。,"or armpits, some of which grew as large as a common apple, others as an egg ... From the two said parts of the body this deadly gavocciolo soon began to propagate and spread itself in all directions indifferently; after which the form of the malady began to change, black spots or livid making their appearance in many cases on the arm or the thigh or elsewhere, now few and large, now minute and numerous. As the gavocciolo had been and still was an infallible token of approaching death, such als",,baseline,,correct,Chunk明确提及secondary form causing pneumonic plague，支持此关系。
13," which may have been associated with the \""""Neolithic decline\"""" around 3000 BCE", in which European populations fell significantly. This Y. pestis may have been different from more modern types, with bubonic plague transmissible by fleas first known from Bronze Age remains near Samara.The symptoms of bubonic plague are first attested in a fragment of Rufus of Ephesus preserved by Oribasius; these ancient medical authorities suggest bubonic plague had appeared in the Roman Empire before the reign of Trajan,Chuck Lorre 是电视剧《生活大爆炸》的联合创作者。,spreading the disease. The plague disease, with recurrences until 750) was Y. pestis. This is known as the first plague pandemic. In 610,tomb,F. alias_merge_error,wrong,src与dst均为句子片段而非实体，entity解析严重出错，疑似解析边界错误。
14,Brian Kennedy,National Gallery of Australia,Brian Kennedy directed the National Gallery of Australia from 1997 to 2004.,电视剧《生活大爆炸》在CBS频道播出。,"Passage 1: Olav Aaraas Olav Aaraas (born 10 July 1950) is a Norwegian historian and museum director. He was born in Fredrikstad. From 1982 to 1993 he was the director of Sogn Folk Museum, from 1993 to 2010 he was the director of Maihaugen and from 2001 he has been the director of the Norwegian Museum of Cultural History. In 2010 he was decorated with the Royal Norwegian Order of St. Olav. Passage 2: S. N. Mathur S.N. Mathur was the Director of the Indian Intelligence Bureau between September 1",,baseline,E. cross_chunk_hallucination,wrong,Chunk为挪威博物馆馆长Olav Aaraas介绍，与Brian Kennedy及澳大利亚国家美术馆无关。
15,Cat Stevens,Samwell-Smith,Samwell-Smith produced Cat Stevens's music and played a large role in catapulting him to fame.,电视剧《黑道家族》（The Sopranos）以其对白人工人阶级社区的刻画而著称。,"for two years. What I write about Patti and my family... when I sing the songs now, I learn strange things. I learn the meanings of my songs late ..."" Having established a signature sound, Stevens enjoyed a string of successes in the following years. 1971's Teaser and the Firecat album reached number two and achieved gold record status within three weeks of its release in the United States. It yielded several hits, including ""Peace Train"", ""Morning Has Broken"", and ""Moonshadow"". The album was",,baseline,A. unsupported_relation,ambiguous,Chunk描述Cat Stevens音乐成就，但visible文本未明确提及Samwell-Smith为制作人，chunk不直接支持。
16,Charles James Haughey,D谩il 脡ireann,"Charles Haughey served as a Teachta D谩la (TD) in D谩il 脡ireann, representing various constituencies from 1957 to 1992.",《奎迪2》（Creed II）是《奎迪》（Creed）的续集。,"Passage 1: Charles Haughey Charles James Haughey (; 16 September 1925 鈥?13 June 2006) was an Irish Fianna F谩il politician who served as Taoiseach on three occasions 鈥?1979 to 1981, March to December 1982 and 1987 to 1992. Haughey led four governments while serving as Taoiseach; December 1979 to June 1981, March to December 1982, March 1987 to June 1989, and June 1989 to February 1992. He was also Minister for the Gaeltacht from 1987 to 1992, Leader of the Opposition from 1981 to 1982 and 1982",,baseline,,correct,Chunk明确描述Haughey为Fianna Fail政治人物曾任Taoiseach，TD身份明确支持此关系。
17,Charles James Haughey,GUBU Affair,The GUBU Affair in 1982 was a scandal that damaged Charles Haughey's reputation and tenure as Taoiseach.,《奎迪2》由史蒂文·凯普尔（Steven Caple Jr.）执导。,"Passage 1: Charles Haughey Charles James Haughey (; 16 September 1925 鈥?13 June 2006) was an Irish Fianna F谩il politician who served as Taoiseach on three occasions 鈥?1979 to 1981, March to December 1982 and 1987 to 1992. Haughey led four governments while serving as Taoiseach; December 1979 to June 1981, March to December 1982, March 1987 to June 1989, and June 1989 to February 1992. He was also Minister for the Gaeltacht from 1987 to 1992, Leader of the Opposition from 1981 to 1982 and 1982",,baseline,A. unsupported_relation,ambiguous,Chunk未在可见范围内提及GUBU事件，但1982年时间段吻合；chunk不直接支持。
18,Cleveland Indians,Larry Doby,"Larry Doby signed with the Cleveland Indians in 1947, breaking the American League color barrier.",Crystal Castles 发行过专辑《(II)》。,"to the reserve-clause contracts. The agreement also set up a formal classification system for minor leagues, the forerunner of today's system that was refined by Branch Rickey. Other recognized leagues Several other early defunct baseball leagues are officially considered major leagues, and their statistics and records are included with those of the two current major leagues. In 1969, the Special Baseball Records Committee of Major League Baseball officially recognized six major leagues: the N",,baseline,E. cross_chunk_hallucination,wrong,Chunk内容为棒球联盟历史及保留条款，未提及Larry Doby或Cleveland Indians，无chunk支持。
19,Conway,Wyntor's Widow,Tarzan instructs Conway to ensure that Wyntor's widow receives the reward money.,Crystal Castles 是一支来自加拿大的电子乐队。,"a lioness found her. Tarzan eventually comes on Coy and Abel Banton, and in a roving battle, a ricochet from Coy's rifle kills Abel. A prolonged battle on rocks, on sand and underwater follows before Tarzan finally knocks Coy out. The film ends with Tarzan and the remaining three people (Ames, Lori, and Conway) handing Coy over to the Kairobi police on the border and instructs Conway to make sure Wyntor's widow gets the reward money. Cast Gordon Scott as Tarzan Jock Mahoney as Coy Banton Betta",,baseline,,correct,Chunk原文明确：instructs Conway to make sure Wyntor's widow gets the reward money，完全支持。
20,Cosine Similarity,Postprocess,A postprocess step utilizes cosine similarity between sentence vectors to detect the repetition propaganda technique.,《达芬奇密码》涉及对宗教历史的重新诠释。,"Introduction In the age of information dissemination without quality control, it has enabled malicious users to spread misinformation via social media and aim individual users with propaganda campaigns to achieve political and financial gains as well as advance a specific agenda. Often disinformation is complied in the two major forms: fake news and propaganda, where they differ in the sense that the propaganda is possibly built upon true information (e.g., biased, loaded language, repetition,",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk为宣传检测论文，余弦相似度相关但postprocess步骤的具体描述未确认，关系模糊但检索有价值。
21,Cyprus Popular Bank,Marfin Investment Group,"The Marfin Investment Group acquired a controlling stake in Cyprus Popular Bank, leading to its rebranding, and the bank's legacy entity is pursuing legal action against the group.",《达芬奇密码》电影由哥伦比亚影业发行。,"Between 2006 and the end of 2021 at least 464 people have had their citizenship removed by the government since the law was introduced. There is a right of appeal. This provision has been in force since 16 June 2006 when the Immigration, Nationality and Asylum Act 2006 (Commencement No 1) Order 2006 brought it into force. Loss of British nationality in this way applies also to dual nationals who are British by birth. The Secretary of State may not deprive a person of British nationality, unles",,baseline,E. cross_chunk_hallucination,wrong,Chunk为英国国籍法修订内容，与Cyprus Popular Bank及Marfin Investment Group毫无关联。
22,Dirk Hartog,Eendrachtsland,The explorer Dirk Hartog had encountered the region known as Eendrachtsland earlier than De Houtman.,Daft Punk 于2014年凭借专辑《Random Access Memories》获得格莱美年度专辑奖。,"After sailing northwards along the coast he encountered and only narrowly avoided a group of shoals, subsequently called the Houtman Abrolhos. De Houtman then made landfall in the region known as Eendrachtsland, which the explorer Dirk Hartog had encountered earlier. In his journal, De Houtman identified these coasts as Locach, mentioned by Marco Polo to have been a country far south of China and indicated as such on maps by cartographers Plancius and Linschoten. See also John Davis 鈥?English",,baseline,,correct,"Chunk原文：Eendrachtsland, which the explorer Dirk Hartog had encountered earlier，直接支持。"
23,Duyfken,Gulf of Carpentaria,The Duyfken sailed into the Gulf of Carpentaria after crossing the Arafura Sea.,Daft Punk 的成员为 Thomas Bangalter 和 Guy-Manuel de Homem-Christo。,"400th anniversary. Denis William Eden painting: John Cabot and his sons receive the charter from Henry VII to sail in search of new lands (1910), at Houses of Parliament. Giovanni Caboto Club (est. 1925), an Italian club located in Windsor, Ontario. A 1952 statue of the explorer is at Bristol's City Hall. John Cabot University is a United States-affiliated university established in 1972 in Rome, Italy. A 1985 bronze statue of the explorer by Stephen Joyce, is located at Bristol Harbourside. A",,baseline,E. cross_chunk_hallucination,wrong,Chunk为John Cabot的历史遗产内容，与Duyfken号船只及卡奔塔利亚湾完全无关。
24,ER,Democratic Republic of The Congo,ER featured storylines set in the Democratic Republic of The Congo.,Damon Albarn 是虚拟乐队 Gorillaz 的核心成员。,"in the former Linda Vista Hospital in Los Angeles, an old facility that had ceased operating in 1990. A set modeled after Los Angeles County General Hospital's emergency room was built soon afterward at the Warner Bros. studios in Burbank, California, although the show makes extensive use of location shoots in Chicago, most notably the city's famous ""L"" train platforms.Warren Littlefield, running NBC Entertainment at the time, was impressed by the series: ""We were intrigued, but we were admitt",,baseline,A. unsupported_relation,ambiguous,Chunk描述ER剧集的拍摄地点，未提及刚果（金）相关剧情线，chunk不支持此边。
25,Earl Frederick Crabb,92 Squadron,Earl Frederick Crabb served in 92 Squadron of the Royal Flying Corps under Arthur Coningham.,Daniel Ellsberg 因公开泄露五角大楼文件（Pentagon Papers）而举世闻名。,"the bridge was completed in the morning of 20 June, Christian's baggage started to cross the river. Tilly planned to force Christian's troops back to the H枚chst walls and the Main, isolating the two thousand troops in Sossenheim. Hence, Christian ordered his troops to withdraw over the pontoon bridge towards Kelsterbach, but under the Catholic artillery fire the withdrawal turned into a headlong flight. The bridge broke after only 3,000 men had crossed and many of Christian's soldiers and hors",,baseline,E. cross_chunk_hallucination,wrong,Chunk为1622年霍希斯特战役内容，与RAF 92中队及Coningham完全无关。
26,Elizabeth Gertrude Britton,Nathaniel Lord Britton,"Elizabeth Gertrude Britton and Nathaniel Lord Britton were married and collaborated on botanical projects, including founding the NYBG.",David Letterman 主持了深夜节目《大卫·莱特曼深夜秀》（Late Night with David Letterman）。,"at Milford in Surrey from 1890 to 1895. While teaching he began, as a sideline, writing a number of school textbooks under the nom-de-plume A. W. S. Methuen, of which his series on French, Greek and Latin were best known. Among his works were books on gardening and current affairs. In June 1889, Methuen began to publish and market his own textbooks under the label Methuen & Co. (later Methuen Publishing Ltd.). Two months later he formally adopted Methuen as his surname. His first success at pu",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Methuen出版社历史，与Elizabeth/Nathaniel Britton或NYBG完全无关。
27,Federico Maria Sardelli,Modo Antiquo,Federico Maria Sardelli conducted the ensemble Modo Antiquo in the recording of 'Orlando furioso RV 819'.,《行尸走肉》（The Walking Dead）是一部以僵尸末日为背景的电视剧。,"or armpits, some of which grew as large as a common apple, others as an egg ... From the two said parts of the body this deadly gavocciolo soon began to propagate and spread itself in all directions indifferently; after which the form of the malady began to change, black spots or livid making their appearance in many cases on the arm or the thigh or elsewhere, now few and large, now minute and numerous. As the gavocciolo had been and still was an infallible token of approaching death, such als",,baseline,E. cross_chunk_hallucination,wrong,Chunk为黑死病症状描述，与Sardelli及Modo Antiquo古乐团完全无关。
28,Fianna F谩il,Arms Crisis,The Arms Crisis led to bitter and lasting divisions within the Fianna F谩il party between supporters of Haughey/Blaney and supporters of Jack Lynch.,《行尸走肉》改编自罗伯特·柯克曼（Robert Kirkman）的同名漫画。,"made innovations in how to operate public relations for the party, including holding opposition press briefings. He also tried to increase the electability of Haughey, particularly among young people. Mara adopted techniques of electioneering from US politics for the campaign for the 1987 Irish general election. He devised a strategy for the election by consulting with a broad range of people, to aid re-election. When the party went back into government in 1987 with Haughey as Taoiseach, Mara",,baseline,A. unsupported_relation,ambiguous,Chunk为P.J.Mara（新闻秘书）传记，未提及武器危机（Arms Crisis），chunk不支持。
29,Game Of Shadows,Lance Williams,Lance Williams is a co-author of the investigative book *Game of Shadows*.,Devo 的音乐具有强烈的讽刺意味与新浪潮风格。,"and away. Furthermore, each team has an interleague ""natural rival"" (in many cases its counterpart in the same metro area) with which it plays two home games and two away games each year. With an odd number of teams in each league (15), it is necessary to have two teams participate in interleague play for most days in the season, except when two or more teams have a day off. Each team plays 20 interleague games throughout the season, usually with just one interleague game per day, but for one",,baseline,E. cross_chunk_hallucination,wrong,Chunk为MLB联赛赛制内容，与Game of Shadows书籍及Lance Williams毫无关联。
30,Generalized Pole-Residue Method,Fourth-Order Runge-Kutta Method,The proposed method is numerically validated by comparing its results and computational efficiency with the fourth-order Runge-Kutta method.,Devo 于1978年发行了首张专辑《Q: Are We Not Men? A: We Are Devo!》。,"Paper Info Title: Generalized Pole-Residue Method for Dynamic Analysis of Nonlinear Systems based on Volterra Series Publish Date: March 7, 2023 Author List: Qianying Cao (from State Key Laboratory of Coastal and Offshore Engineering, Dalian University of Technology), Anteng Chang (from College of Engineering, Ocean University of China), Junfeng Du (from College of Engineering, Ocean University of China), Lin Lu (from State Key Laboratory of Coastal and Offshore Engineering, Dalian University",,baseline,,correct,Chunk为该论文正文，明确提及与四阶Runge-Kutta方法比较验证，完全支持。
31,Graeme Goodall,Dynamic Sound,Graeme Goodall assisted with the construction of the Dynamic Sound recording studio in Jamaica.,Diego Maradona 曾效力于那不勒斯足球俱乐部（SSC Napoli）。,"Passage 1: TML Entertainment TML Entertainment is a record label launched by Canadian rock band Triumph in 2003. It is managed by Triumph's members Gil Moore and Mike Levine. The label was previously known as TRC from 1995 until 2003. The decision for Triumph to launch their own label came after the band's 10 year/5-album contract with MCA Records expired at the end of 1994. Subsequently, all of Triumph's albums were re-released on the TRC imprint using the 1980s remasters. Then in 2003, TRC c",,baseline,E. cross_chunk_hallucination,wrong,Chunk为TML Entertainment（加拿大摇滚厂牌）历史，与Graeme Goodall及Dynamic Sound无关。
32,Graeme Goodall,Trojan Records,Graeme Goodall set up the Trojan Records subsidiary called Attack Records.,Don McLean 于1971年创作了歌曲《American Pie》。,"Passage 1: TML Entertainment TML Entertainment is a record label launched by Canadian rock band Triumph in 2003. It is managed by Triumph's members Gil Moore and Mike Levine. The label was previously known as TRC from 1995 until 2003. The decision for Triumph to launch their own label came after the band's 10 year/5-album contract with MCA Records expired at the end of 1994. Subsequently, all of Triumph's albums were re-released on the TRC imprint using the 1980s remasters. Then in 2003, TRC c",,baseline,E. cross_chunk_hallucination,wrong,Chunk为TML Entertainment历史，与Graeme Goodall及Trojan Records/Attack Records无关。
33,Gramofon,Doublemoon Records,Gramofon is the exclusive distributor for the Doublemoon Records label in Bosnia and Herzegovina.,Duran Duran 曾演唱詹姆斯·邦德系列电影《雷霆杀机》（A View to a Kill）的主题曲。,"Passage 1: TML Entertainment TML Entertainment is a record label launched by Canadian rock band Triumph in 2003. It is managed by Triumph's members Gil Moore and Mike Levine. The label was previously known as TRC from 1995 until 2003. The decision for Triumph to launch their own label came after the band's 10 year/5-album contract with MCA Records expired at the end of 1994. Subsequently, all of Triumph's albums were re-released on the TRC imprint using the 1980s remasters. Then in 2003, TRC c",,baseline,E. cross_chunk_hallucination,wrong,Chunk为TML Entertainment历史，与Gramofon及Doublemoon Records无关。
34,Guilherme Marchi,J.W. Hart,Guilherme Marchi became the assistant coach under head coach J.W. Hart for the Kansas City Outlaws.,Eddie Murphy 在喜剧片《比佛利山警探》（Beverly Hills Cop）中扮演主角。,before being replaced by Balarama. Balarama had been rested from the duty of carrying the Golden Howdah due to his reducing weight and has been succeeded by Arjuna. Balarama led the procession as the 'nishane aane' or the lead elephant. Balarama's Mahout Sannappa once refused to mount Balarama after his family were stopped by the police from watching him ride during Dasara. Balarama refused food given to him by anybody other than his Mahout. Balarama weighed about 4590 Kilograms and he conquer,,baseline,E. cross_chunk_hallucination,wrong,Chunk为Balarama大象Dasara游行内容，与Guilherme Marchi牛仔竞技教练职位无关。
35,Hans Fleischhacker,Auschwitz,Hans Fleischhacker selected inmates at Auschwitz and took their measurements for August Hirt's Jewish skeleton collection.,Eddie Murphy 曾是《周六夜现场》（Saturday Night Live）的固定演员。,Passage 1: August Hirt August Hirt (28 April 1898 鈥?2 June 1945) was an anatomist with Swiss and German nationality who served as a chairman at the Reich University in Strasbourg during World War II. He performed experiments with mustard gas on inmates at the Natzweiler-Struthof concentration camp and played a lead role in the murders of 86 people at Natzweiler-Struthof for the Jewish skull collection. The skeletons of his victims were meant to become specimens at the Institute of anatomy in S,,baseline,A. unsupported_relation,ambiguous,Chunk描述August Hirt在Natzweiler-Struthof的实验，未明确提及Fleischhacker在Auschwitz的具体行动。
36,Harry Pennell,British Antarctic Expedition,Harry Pennell commanded the Terra Nova as part of the British Antarctic Expedition.,爱因斯坦以其狭义相对论与广义相对论而举世闻名。,"400th anniversary. Denis William Eden painting: John Cabot and his sons receive the charter from Henry VII to sail in search of new lands (1910), at Houses of Parliament. Giovanni Caboto Club (est. 1925), an Italian club located in Windsor, Ontario. A 1952 statue of the explorer is at Bristol's City Hall. John Cabot University is a United States-affiliated university established in 1972 in Rome, Italy. A 1985 bronze statue of the explorer by Stephen Joyce, is located at Bristol Harbourside. A",,baseline,E. cross_chunk_hallucination,wrong,Chunk为John Cabot探险家历史遗产，与Harry Pennell及英国南极探险队完全无关。
37,He's Gonna Step On You Again,The Party Boys,"The Party Boys released a cover of ""He's Gonna Step on You Again"" that reached No. 1 in Australia.",爱因斯坦晚年在普林斯顿高等研究院（Institute for Advanced Study）工作。,"a federation of 36 states and 1 federal capital territory. Each of the 36 states is a semi-autonomous political unit that shares powers with the federal government as enumerated under the Constitution of the Federal Republic of Nigeria. The Federal Capital Territory (FCT), is the capital territory of Nigeria, and it is in this territory that the capital city of Abuja is located. The FCT is not a state but is administered by elected officials who are supervised by the federal government. Each s",,baseline,E. cross_chunk_hallucination,wrong,Chunk为尼日利亚联邦行政结构，与He's Gonna Step On You Again歌曲及澳大利亚排行榜无关。
38,Horse With A Heart,Phil Cunningham,Phil Cunningham served as the producer for Altan's album 'Horse with a Heart'.,Eminem 于2002年主演了半自传电影《八英里》（8 Mile）。,"Passage 1: TML Entertainment TML Entertainment is a record label launched by Canadian rock band Triumph in 2003. It is managed by Triumph's members Gil Moore and Mike Levine. The label was previously known as TRC from 1995 until 2003. The decision for Triumph to launch their own label came after the band's 10 year/5-album contract with MCA Records expired at the end of 1994. Subsequently, all of Triumph's albums were re-released on the TRC imprint using the 1980s remasters. Then in 2003, TRC c",,baseline,E. cross_chunk_hallucination,wrong,Chunk为TML Entertainment历史，与Horse With A Heart专辑及Phil Cunningham制作无关。
39,"Humphrey de Bohun, 3rd Earl of Hereford",Brecon,"Humphrey de Bohun, 3rd Earl of Hereford, inherited the marcher lordship of Brecon from his mother, Eleanor de Braose.",Eminem 在电影《八英里》中饰演角色 B-Rabbit。,"Passage 1: Henry de Bohun Sir Henry de Bohun (died 23 June 1314) was an English knight, of Anglo-Norman origins, the grandson of Humphrey de Bohun, 2nd Earl of Hereford. He was killed on the first day of the Battle of Bannockburn by Robert the Bruce. Riding in the vanguard of heavy cavalry, de Bohun caught sight of the Scottish king who was mounted on a small palfrey (ane gay palfray Li till and joly) armed only with a battle-axe.De Bohun lowered his lance and charged, but Bruce stood his grou",,baseline,B. wrong_endpoint,ambiguous,Chunk为Henry de Bohun在班诺克本战役的内容；Humphrey 3rd Earl继承Brecon的关系在chunk中无直接支持，实体混淆。
40,Industry Prediction,Dataset,"The dataset is split into train, development, and test sets to train, configure, and evaluate classifiers for the industry prediction task.",英国脱欧公投于2016年举行，英国最终投票决定离开欧盟。,"Introduction Over the past two decades, the emergence of social media has enabled the proliferation of traceable human behavior. The content posted by users can reflect who their friends are, what topics they are interested in, or which company they are working for. At the same time, users are listing a number of profile fields to define themselves to others. The utilization of such metadata has proven important in facilitating further developments of applications in advertising BIBREF0 , pers",,baseline,,correct,Chunk为社交媒体用户职业预测论文，dataset划分方式与industry prediction任务直接相关，支持此边。
